timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759452204861,73,POST /auth/signup.,200,,TG-Signup 1-296,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452205471,72,POST /auth/signup.,200,,TG-Signup 1-297,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452206065,73,POST /auth/signup.,200,,TG-Signup 1-298,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452206672,74,POST /auth/signup.,200,,TG-Signup 1-299,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452207260,73,POST /auth/signup.,200,,TG-Signup 1-300,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452207871,71,POST /auth/signup.,200,,TG-Signup 1-301,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452208460,72,POST /auth/signup.,200,,TG-Signup 1-302,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452209061,72,POST /auth/signup.,200,,TG-Signup 1-303,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452209662,72,POST /auth/signup.,200,,TG-Signup 1-304,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452210262,73,POST /auth/signup.,200,,TG-Signup 1-305,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,2
1759452210862,73,POST /auth/signup.,200,,TG-Signup 1-306,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452211462,73,POST /auth/signup.,200,,TG-Signup 1-307,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452212061,73,POST /auth/signup.,200,,TG-Signup 1-308,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452212662,74,POST /auth/signup.,200,,TG-Signup 1-309,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,0
1759452213261,72,POST /auth/signup.,200,,TG-Signup 1-310,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452213861,71,POST /auth/signup.,200,,TG-Signup 1-311,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452214462,73,POST /auth/signup.,200,,TG-Signup 1-312,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452215062,72,POST /auth/signup.,200,,TG-Signup 1-313,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452215663,72,POST /auth/signup.,200,,TG-Signup 1-314,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452216264,73,POST /auth/signup.,200,,TG-Signup 1-315,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452216863,72,POST /auth/signup.,200,,TG-Signup 1-316,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452217454,75,POST /auth/signup.,200,,TG-Signup 1-317,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,75,0,1
1759452218065,72,POST /auth/signup.,200,,TG-Signup 1-318,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452218653,73,POST /auth/signup.,200,,TG-Signup 1-319,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452219262,72,POST /auth/signup.,200,,TG-Signup 1-320,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452219862,72,POST /auth/signup.,200,,TG-Signup 1-321,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452220452,72,POST /auth/signup.,200,,TG-Signup 1-322,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452221071,73,POST /auth/signup.,200,,TG-Signup 1-323,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452221662,74,POST /auth/signup.,200,,TG-Signup 1-324,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452222263,72,POST /auth/signup.,200,,TG-Signup 1-325,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452222862,71,POST /auth/signup.,200,,TG-Signup 1-326,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452223462,72,POST /auth/signup.,200,,TG-Signup 1-327,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452224062,72,POST /auth/signup.,200,,TG-Signup 1-328,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452224663,73,POST /auth/signup.,200,,TG-Signup 1-329,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452225274,74,POST /auth/signup.,200,,TG-Signup 1-330,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452225862,72,POST /auth/signup.,200,,TG-Signup 1-331,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452226462,72,POST /auth/signup.,200,,TG-Signup 1-332,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452227062,72,POST /auth/signup.,200,,TG-Signup 1-333,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452227663,71,POST /auth/signup.,200,,TG-Signup 1-334,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452228263,72,POST /auth/signup.,200,,TG-Signup 1-335,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452228863,76,POST /auth/signup.,200,,TG-Signup 1-336,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,76,0,1
1759452229454,71,POST /auth/signup.,200,,TG-Signup 1-337,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452230062,71,POST /auth/signup.,200,,TG-Signup 1-338,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,71,0,1
1759452230661,72,POST /auth/signup.,200,,TG-Signup 1-339,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452231262,72,POST /auth/signup.,200,,TG-Signup 1-340,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452231862,72,POST /auth/signup.,200,,TG-Signup 1-341,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452232474,72,POST /auth/signup.,200,,TG-Signup 1-342,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452233062,73,POST /auth/signup.,200,,TG-Signup 1-343,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452233662,73,POST /auth/signup.,200,,TG-Signup 1-344,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452234262,74,POST /auth/signup.,200,,TG-Signup 1-345,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452234861,73,POST /auth/signup.,200,,TG-Signup 1-346,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,0
1759452235452,72,POST /auth/signup.,200,,TG-Signup 1-347,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452236062,72,POST /auth/signup.,200,,TG-Signup 1-348,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452236665,72,POST /auth/signup.,200,,TG-Signup 1-349,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452237264,72,POST /auth/signup.,200,,TG-Signup 1-350,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452237862,73,POST /auth/signup.,200,,TG-Signup 1-351,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452238462,72,POST /auth/signup.,200,,TG-Signup 1-352,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452239061,73,POST /auth/signup.,200,,TG-Signup 1-353,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452239666,72,POST /auth/signup.,200,,TG-Signup 1-354,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,72,0,1
1759452240274,73,POST /auth/signup.,200,,TG-Signup 1-355,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,2
